Perfil,Lenguaje
nategentile7,True
abelm.g,False
mikeyfdez,True
const_ruyendocasas,True
evahdealba,True
letrasdecoloresoficial,True
isartvlog,True
gemelosviajeros,True
sezarblue,False
renancupcakes,True
giorgiasilvestrii,True
verdeliss,True
cesarsway,True
farmaceuticofernandez,True
juanjobricks,True
epicraybacon,True
davidbisbal,True
andres_sile,True
cris_tortu,True
oscar_casas_,False
pilarrubio,True
orianaccesorios,True
andresperfumeman,True
nonaspinola,True
mishoamoli,True
elesky,True
sorpresasdivertidas,True
imagus51,True
alexiaputellas,True
alebuitragoh,True
topesdegama,True
hugo_pesquera,True
