Perfil,Alcance,Crecimiento_%,Engagement_%
abelm.g,4707.0,278.0,0.73
alebuitragoh,66380.0,224.0,0.16
alexiaputellas,591714.0,1182.0,0.21
andres_sile,96123.0,58.0,0.05
andresperfumeman,353004.0,129.0,0.1
cesarsway,159830.0,218.0,0.12
const_ruyendocasas,12380.0,0.0,0.11
cris_tortu,36944.0,224.0,0.18
davidbisbal,349710.0,153.0,0.29
elesky,159981.0,361.0,0.32
epicraybacon,37892.0,668.0,0.05
evahdealba,375008.0,104.0,0.07
farmaceuticofernandez,520179.0,124.0,0.65
gemelosviajeros,444227.0,277.0,0.06
giorgiasilvestrii,37679.0,326.0,0.35
hugo_pesquera,9781.0,341.0,0.21
imagus51,508298.0,1548.0,0.05
isartvlog,2605.0,337.0,0.45
juanjobricks,44240.0,342.0,0.53
letrasdecoloresoficial,18202.0,0.0,0.83
mikeyfdez,7083.0,30.0,0.41
mishoamoli,506094.0,293.0,0.15
nategentile7,117426.0,526.0,0.08
nonaspinola,18198.0,181.0,0.31
orianaccesorios,2546.0,270.0,0.78
oscar_casas_,476329.0,0.0,0.07
pilarrubio,922934.0,183.0,0.08
renancupcakes,3012.0,371.0,1.43
sezarblue,159291.0,609.0,0.1
sorpresasdivertidas,2219.0,0.0,0.6
topesdegama,83756.0,259.0,0.15
verdeliss,474207.0,118.0,0.06
